transaction_id,customer_id,merchant,amount,currency,occurred_at,channel,region
TX-1001,CUST-001,CloudMart,129.90,USD,2026-08-20T09:15:00Z,card,SG
TX-1002,CUST-002,CloudMart,899.00,USD,2026-08-20T09:18:00Z,card,SG
TX-1003,CUST-003,TravelHub,54.20,USD,2026-08-20T10:05:00Z,web,MY
TX-1004,CUST-004,GameBox,1499.00,USD,2026-08-20T10:07:00Z,web,SG
TX-1005,CUST-004,GameBox,1499.00,USD,2026-08-20T10:08:00Z,web,SG
TX-1006,CUST-005,OfficeSupply,320.00,USD,2026-08-20T11:40:00Z,card,TH
TX-1007,CUST-006,CloudMart,75.60,USD,2026-08-20T12:10:00Z,card,SG
TX-1008,CUST-007,TravelHub,2100.00,USD,2026-08-20T12:12:00Z,web,ID
TX-1009,CUST-008,GameBox,39.99,USD,2026-08-20T13:00:00Z,card,MY
TX-1010,CUST-009,CloudMart,640.00,USD,2026-08-20T13:20:00Z,card,SG
